epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.531,1.79977,2.46661,1.19135,0.01515,0.70225,0.29516,0.14587,1.12367,3.4296,0.97621,0.000462724,0.000462724,0.000462724
2,733.922,1.41541,1.29365,1.04288,1,0.26806,0.91827,0.55925,1.11684,2.52904,0.9701,0.000920464,0.000920464,0.000920464
3,1068.18,1.27401,1.1088,1.01902,0.87556,0.90009,0.95626,0.50321,1.34536,1.40352,1.04699,0.00135934,0.00135934,0.00135934
4,1405.71,1.3274,1.08406,1.04507,0.93532,0.9356,0.97255,0.60647,1.112,0.96203,0.99051,0.00134412,0.00134412,0.00134412
5,1743.66,1.15519,0.94783,0.99603,0.97566,0.96635,0.98774,0.68101,0.91499,0.78764,0.90521,0.00131582,0.00131582,0.00131582
6,2080.13,1.05548,0.8421,0.95936,0.9804,0.96996,0.98216,0.6702,0.89514,0.73946,0.90071,0.00128753,0.00128753,0.00128753
7,2414.89,1.04255,0.79549,0.95245,0.97785,0.97852,0.98705,0.69757,0.87933,0.67596,0.89284,0.00125923,0.00125923,0.00125923
8,2747.02,1.06682,0.76472,0.95797,0.98598,0.97936,0.98667,0.71374,0.80075,0.62503,0.87471,0.00123094,0.00123094,0.00123094
9,3097.79,0.95829,0.7061,0.93126,0.98716,0.98023,0.99095,0.74116,0.74922,0.61689,0.86533,0.00120265,0.00120265,0.00120265
10,3411.38,0.93381,0.65555,0.9222,0.98783,0.97914,0.98974,0.72422,0.79545,0.60063,0.87737,0.00117435,0.00117435,0.00117435
11,3716.95,0.91884,0.63847,0.91596,0.99441,0.98268,0.9899,0.72217,0.76093,0.55893,0.86882,0.00114606,0.00114606,0.00114606
12,4037.6,0.85777,0.60336,0.90678,0.99215,0.9846,0.9903,0.75223,0.72006,0.53155,0.85952,0.00111776,0.00111776,0.00111776
13,4346.5,0.8576,0.59194,0.90124,0.9898,0.97771,0.98992,0.73016,0.77092,0.52566,0.8717,0.00108947,0.00108947,0.00108947
14,4664.45,0.85845,0.57541,0.89837,0.98912,0.98267,0.99067,0.73612,0.81735,0.51138,0.89266,0.00106118,0.00106118,0.00106118
15,4972.46,0.83556,0.55331,0.89736,0.98552,0.98167,0.98814,0.77854,0.66356,0.46045,0.84377,0.00103288,0.00103288,0.00103288
16,5306.67,0.82025,0.55499,0.89668,0.99194,0.98306,0.98827,0.74346,0.71873,0.4948,0.85903,0.00100459,0.00100459,0.00100459
17,5666.62,0.81719,0.53256,0.88673,0.99119,0.98048,0.98732,0.71024,0.81905,0.48543,0.87401,0.000976293,0.000976293,0.000976293
18,6020.76,0.79358,0.52461,0.88328,0.99395,0.98498,0.99136,0.78779,0.65386,0.44139,0.8447,0.000947999,0.000947999,0.000947999
19,6375.27,0.76406,0.50974,0.8809,0.99651,0.98603,0.99103,0.76536,0.67659,0.43644,0.85015,0.000919704,0.000919704,0.000919704
20,6724.97,0.76764,0.49924,0.88422,0.99486,0.98689,0.99074,0.77777,0.65174,0.43024,0.84175,0.00089141,0.00089141,0.00089141
21,7074.26,0.78426,0.50615,0.88438,0.99511,0.98279,0.98914,0.76163,0.66914,0.42065,0.8391,0.000863116,0.000863116,0.000863116
22,7405.8,0.7803,0.49392,0.88801,0.99562,0.98734,0.99126,0.80028,0.61095,0.39311,0.83201,0.000834822,0.000834822,0.000834822
